UUID,screw_type
002581c6-c593-4fc7-9b0b-4773f884d490,HH
00483bcf-c10f-4752-a32e-c4c30d6ffff9,HH
00521aa0-7f5d-4050-9066-8883dd88f2ca,HH
005c474e-772f-44b2-a433-d597a855b2dc,HH
00838046-6e54-4d23-9a1f-fdac7fa399a7,TORX
0086e5ee-2641-4b71-a462-a284ac1c4596,HEX
008efc44-e784-4789-a075-a9ac49884041,PZ
00a9ec18-af52-454a-bc9a-b4df23ebf6ab,HH
00b09deb-f821-4a04-812f-45c722bcc027,TORX
00c8b43f-c638-4930-9c6f-2c389c131001,PH
00cc9713-3db9-44a5-aa99-69f6fafd27de,TORX
00d3339c-70bf-4ed7-998b-f39ea437ee03,HEX
00e1295a-1c7f-422e-b5bc-ca4d3c406b8f,PH
00fabf78-df5f-4a8a-9f54-4374a1ba3673,PZ
0101f728-80ab-4444-a0e2-2ed1a28c654a,SLOT
011973f1-de8e-4ac9-bd05-577f3da37283,HEX
011d7f0f-4e3c-4bf3-b09a-fda473833843,HH
01248efd-cc09-4e27-a2b3-ce08914ec804,HH
0132bd06-1309-426b-9dd3-571062ded1a8,HEX
0135388b-9c55-405d-a69c-93b5b87d9b10,PH
015f520e-f485-450d-8181-4ec7667fd124,PZ
016e1ac9-6708-401b-a0fa-8f4f664fcaef,TORX
01b5cca6-4cfb-4e49-96f0-7011c63b574b,PH
01e6f62f-0968-45c3-a91d-f4dbd4aa955b,HEX
02122c26-deca-4900-b70d-2b5a65373ae5,HH
0253a4ee-d77b-430f-8aed-f883da2c6201,HH
02573aba-ad4d-4341-bd3e-5dfcf276d70b,SLOT
025c4659-cb87-4634-b2c5-be3c8d511deb,PZ
027d26ef-28b3-4a19-9cbe-0117c3e05a82,TORX
02a95a61-4c69-47ce-bcf2-fc8833d5ba90,PH
0313f356-1fa9-4b6c-a742-ae6e8865f215,HH
0319245e-b5c1-4b33-9dc2-22e7308d2c31,TORX
032ef1e5-7502-4531-ba88-1962702de1cc,PH
03424564-782a-482c-8fc8-422ac9052b94,HEX
034e3db9-979c-4f4e-846f-56a9312c90c4,HH
036210f0-b24b-4185-ba5f-8f1f6629ef89,HH
036c45f3-674d-44fd-b9e0-8788961fda92,TORX
03936059-2ebf-4465-bf1f-300405f616e9,HEX
03982449-ee33-456c-bdb1-97fe0944a94c,HEX
0399557c-8fde-4ce9-a2e5-d97b2a025682,PH
03a3f728-c9e1-446e-b0d5-7d4b7b153c48,HEX
03ad84b1-88b8-42f1-9e47-77fdfc1cc5f6,PH
03da44bf-87e2-462d-a399-cbd7d3a4c67b,SLOT
03dd734f-5479-459b-b8ea-4bfe5bb2d1cf,HH
03dfd390-375b-45a0-a4ef-023590f28935,SLOT
03f1f8a0-1f2a-4658-b951-439c95046575,SLOT
03fc859a-a46c-4387-97d4-6fde2d355aaf,PH
04202d2b-98f1-4657-97b0-032e4366e40b,SLOT
043901f1-3291-4b42-a0cf-1fd6f68f6b1b,PH
044730d4-5635-43cb-ab69-dca87473321d,HEX
045b3eb4-c495-40bc-98ac-6a9ef7d1c997,HH
0475b405-fcaa-4d81-9b88-0db046a7c467,TORX
049f4f44-b817-41fd-87e7-30f1923790f8,PH
04eb5165-2866-4313-8075-c371d3cbffb6,HEX
0505218c-7e3e-496f-bfaf-21bd5b61a854,HEX
05085109-2e72-4a4a-bf6f-baceafad86e1,HEX
050e7688-5fb6-4d56-a74c-9324cf8a9f4f,TORX
050fe332-ab6f-4a7f-b62e-b62400bf714d,HH
0526684c-aa16-4736-b4d9-bacd176d331b,HH
0531d3f8-9889-46c6-8b2f-9af28a04a581,PH
05432699-13bb-4553-bc26-ca29213f2251,HEX
054b441f-3d72-4a6e-9c0c-9d77ee46e1e3,HEX
0584baeb-0990-431a-b6c4-21bf238dd610,SLOT
0590ab40-ac6d-45f0-872a-f62ff7d349e7,HH
059e61d9-258b-452d-b7cd-9f0bf260c7b1,SLOT
05d422ea-38f7-44ad-a97b-4f4b6d780bb1,PH
05f7cdda-78cd-40b5-9cf2-ca9e139f9801,HEX
05ff1435-8e1c-4ae1-9a1f-18fc2fc67df9,HEX
060d4967-3f9f-475a-9e32-670b980cbd9c,HEX
0611ad63-eb7f-409d-a838-86e2d9b40ec4,SLOT
06156cfa-4c69-4e76-bc1f-4cccfed1a8fb,HEX
0627b801-47cd-4960-b7cf-6733afdc6c46,SLOT
062c9409-394e-4420-bfaa-e964e4ea6875,HH
0648f852-6305-40c9-844d-f6867b47b1a1,HH
069f2b43-4278-48e4-b53e-8d4f316ed82b,HEX
06a9bc0d-ef18-46fe-a32f-2d6e8df65b2a,SLOT
06b735e4-f99c-4325-ba1e-a2ee3222df85,HEX
06d47f10-f5e9-4736-bcfe-6667671a748b,SLOT
06f0c008-a884-4bde-be00-3eaef59990fd,PH
0701a38e-68c3-4f30-8063-5536ba17117c,HEX
07119aef-5b0f-4dba-bde1-8e4e64056857,SLOT
073e13d8-9784-4afb-84d7-0a140167529b,HEX
074c8bc2-e437-4af5-88db-5852abe28eaa,HEX
0797e803-9556-4f43-ad10-44c2d6dbb1ba,HEX
079cc1b0-6575-408f-9136-ef2cf08e8e6c,SLOT
079ced29-3cec-4f32-9835-809ead1711fa,SLOT
07bd8253-f4de-4bc5-b48e-0133a71503a8,PZ
07d8427e-b689-44f0-bd1b-815ff0c8650b,HH
07eef0b7-d10a-417a-becd-295a45fd19f3,PH
08024d29-3d34-435f-b129-ac3a1f3a65cd,PZ
080ba250-5d84-4dc8-b07d-13745adbe396,SLOT
080fc7f0-7d98-4d07-8670-00eb5ec9f4a3,PH
0813c9c8-f5bb-4230-8cd3-be4f79edad9b,HEX
081ec52d-dbeb-460a-a950-7375172ba37e,SLOT
083ae960-ed93-4ca8-8648-de83b9350a26,TORX
0840d3c3-e670-45ba-a5df-18647c6188a0,HEX
085f8721-2216-4d10-82ff-c11a64c7e4e3,SLOT
08677614-284d-4a25-82c1-9c94b928e0ef,HH
0868ab44-2357-4ddc-b99f-34483625b59d,TORX
086f1de0-2aef-4458-b8f2-49cb809f48ff,HEX
0870a959-b242-4985-8049-20d6cc34e38c,TORX
0883fa50-4378-4ba4-a0da-b04330c4378d,HH
088467f3-4302-48d5-aa5a-3755dad4b284,HH
0887e2c7-8d1f-4e7d-b118-53d0e3ae9a70,SLOT
088f9204-6435-4c91-b357-9479937af7c5,HEX
0893f2ea-274e-4a0c-8114-a20bdfbec77f,HEX
089468b4-9fa3-4485-98bc-9d0a6c8ca3d8,PZ
0895ed82-5747-45dd-85f1-143eec42ab4b,HH
08b129e6-667b-4a84-bafb-d626079408e4,HH
08be8426-fc33-40e3-8f05-5522ebb4bae3,PZ
08cabbce-dcae-473c-b159-7e2ec7dd5cde,PZ
08e94660-3f26-468a-bc5c-b52d082e950b,SLOT
08efe65b-d4b3-477c-9c85-bbbcda0a566a,HEX
09106a20-833e-4a2d-9ca5-3a5ea366338b,HH
09136b3f-b933-4d20-a104-32baa36af2d6,HEX
094c9091-4de2-427d-9881-423e37f11d8c,HEX
095fd2c6-595f-4094-83c2-36f7b433afb7,SLOT
0960fe2f-fe4d-4f10-9e78-6f27ee749f2d,TORX
096217fe-e0f6-46b1-af67-c50b6ecad36b,HH
09794801-6fe4-49f2-9842-08e30ce51420,TORX
097c3558-2ee5-4b6a-b0d3-dd2844d3db74,HEX
0997b709-d0d5-40b8-b807-afb9fad8455a,PH
09d60cbc-52a4-414f-aa69-5974043d9e38,PH
09f5f0f4-8dff-4d12-a7d2-d0cc626d05ea,SLOT
09fa7d6a-2ca6-4c73-acab-681536514d14,HEX
09fbf6d9-6c7b-4d98-9272-bd3861824b07,TORX
0a02057b-ecc7-4785-9533-800021df008b,SLOT
0a04d199-580b-4614-81a4-4073f626c0cb,HEX
0a125dda-606a-47e8-8fbd-e63ed3a30cb0,HEX
0a23b274-6235-41ca-a648-262b514a4166,HEX
0a27150e-09cb-4ee4-9ffa-dcdd495eca31,PH
0a2c1d4c-7349-4436-ba3a-bc514e4d89d9,SLOT
0a58ac56-284c-4f9f-ae43-5ee6c166c169,HEX
0a5d660c-3535-421d-aa8e-8d5ac0f1ef00,TORX
0a7515be-4f22-46af-9d5a-5ffca56fccf5,PH
0a81c669-a7b5-4458-aa15-a18e3df8eb26,PZ
0a84956c-c513-4f05-9579-1fc20408b7e4,PH
0a945843-cec6-4eaf-86b5-1369cee14114,HH
0a94d741-dc05-4282-b459-797850a3e99d,TORX
0a9f9b15-827b-48fb-8f2b-d7300a2eac7f,PZ
0aeb8bd7-31fe-4a95-916b-f39f12f46f8d,PH
0af50369-5fe7-44a5-818e-80a5cab0bcff,TORX
0afa061d-164b-4757-857b-ce13bf737fdf,TORX
0b0ccfa6-b5ff-4b90-bd65-84fee8a722e0,SLOT
0b6b6c82-7408-4b81-a42b-8d4283a080b5,HEX
0b72cc30-067d-4ee0-8973-d2b116022031,HH
0b747f19-e0e8-439e-b7ed-f6805ad7ea3d,HEX
0b82e287-aeea-42d4-9583-b3c4d25fcf06,HEX
0bb9ab73-8833-4c73-8900-24363588fc7e,SLOT
0bda6125-8122-4282-a162-c4718829399f,HH
0be2dfd5-d9f6-49b9-b33e-d7b6426c7045,SLOT
0c033081-6e17-4070-a304-2f10452366a8,HEX
0c16f8aa-033c-4cc0-9e16-41a6d388cac7,PZ
0c247881-d87a-482c-8f32-57e4a5538af5,HEX
0c31df91-c443-4d98-b371-25b207305e8d,PZ
0c40ff04-3e43-45c2-92e4-505f6b09b7db,HEX
0c49dc11-7845-4817-a0bf-d5b3b14a7309,HEX
0c4e7642-d7f1-40fb-b4a6-6db04ab81587,TORX
0c5b2bf3-aecb-46c2-a871-0e6d78260657,PZ
0c647f36-41ae-4c52-a47d-74f5354169ae,PH
0c67abf9-ee7f-4c23-9b33-576bd2b8e38f,HH
0c7b7e6b-4ecf-48be-9430-44abb7a0428b,HH
0c7d027f-55f9-4187-bfca-af216b5a18c5,SLOT
0ca63306-cbc6-4558-86da-053ccfc9f9c4,HH
0cbaa9bd-a6a8-44f5-9c82-930ac74bf076,PZ
0ccb56b0-f0d4-4ddf-872f-88918348f7c0,HH
0ccf221e-068a-4496-aef3-64b70473c551,PH
0cdcd4ed-4b9a-492c-a645-457ccad0fcd9,HH
0cf62a47-c527-4fb0-8110-90a328afe300,HEX
0d32da3a-0ae4-4e00-8a7e-8769170a18e3,HEX
0d4b08ba-1a50-42cc-b7ef-8a63a3cedc76,SLOT
0d4d15f5-7f13-4531-ad35-d060da0c83a5,HEX
0d7190ad-e19c-4636-a95a-be678531a1fc,HEX
0d73aceb-6ccf-4a71-bd0b-777b2cd1fe90,SLOT
0d8295c7-ca5a-4ef8-b740-0ee0e782b1f9,SLOT
0d8dde4a-f078-4c08-ac18-a2ddd11259e1,SLOT
0d8e2fda-f635-40e1-a75b-909572d69d52,SLOT
0d97fa01-0991-40ba-b6d0-c5950818b130,TORX
0d98a747-8c24-4ff5-8a28-a639646772dc,HH
0dd764c5-c381-4fba-9fa5-e27ff0571a02,HEX
0de14079-3be8-4c7e-8601-c72414ab79a2,HH
0e0f63ba-3b5e-41d4-adc5-b3aa0b158b26,HH
0e14e5cb-e653-4844-a837-aab262333ac7,PH
0e28b9e5-9ea3-4f81-a4c5-89f8f15238d5,HH
0e351971-2b9d-4ec5-98bd-b5b2fa7ef17a,PH
0e7cebba-b56a-4910-86a3-1548423e399c,HEX
0e7d7d0d-b556-4efb-9c4e-f1404ecfdd54,HH
0e7f98c1-e0e4-439c-8be2-dd281c065ac5,PZ
0e801c46-1049-44b7-963e-952a84daef3a,HEX
0e8bbc68-f12b-467f-99d6-fc3a5ab63542,HH
0e99008c-b8fa-49be-9c08-c4c73c8adaa9,HH
0eb9245a-be11-4eea-9a22-50c36d8ed60f,HH
0ebff38c-3a05-4f01-a4cc-78f9e8fd6ebc,HEX
0ed4dca3-b756-43aa-9731-c8174a2c8431,HH
0efc26f4-aa7e-4f08-b7bb-17c69b10a73a,HH
0f0aff45-19cc-4075-95c8-6606cebca78d,HEX
0f24d07d-c8f8-4931-a5d3-a78a438ff6aa,PZ
0f2759cc-a009-4270-ac2a-9171459ab622,SLOT
0f305c73-d850-4e7d-8c3b-b6216dac809f,HH
0f3bb369-8ed0-4812-bcc8-696402bd8f9f,SLOT
0f534671-8f35-4210-b951-944ef4d847b4,SLOT
0f6cf195-47de-42ee-ac27-9fd1bb9abb7d,SLOT
0fa96edf-b572-43f1-8015-2e32e78aaa50,PZ
0fb6d517-7c33-46be-ab1d-91014f286be4,HEX
0fc0ca0d-5c45-4346-ac3b-94b21f67ce95,HH
0fee4006-61cd-40eb-b4d1-1297ebd30d66,HEX
0ff4633f-733b-492a-ae46-398ddaf41976,HEX
0ff6160a-1f9e-4113-a014-6a1b0ba6e32f,HH
0ffa63ee-9630-4216-ac94-154cad50cbb5,TORX
0ffd9d91-4852-4707-b716-d73d0fb3b197,PZ
10100842-e993-4c54-a10a-525e1d6a8a22,PZ
1029417b-4d20-4357-8b3c-2fb6abacc564,HEX
10377523-e75b-4038-aab0-70eed4d54e78,HH
10416ed8-6857-4537-84df-7fd0d74160b1,HH
104fc418-73ac-4720-a836-f0fb0da45d76,TORX
1050f1b3-1786-48ac-b7dd-91942ff14a86,HEX
1055e131-b62d-4ffc-9db4-f04dd65a8bc8,HH
1058be5c-2ab2-4cab-920c-1ae2e8c5b005,HEX
106d182e-fc62-4a6a-a444-25d636e58713,HEX
106fa99e-675c-4069-badd-bfa08fb7035d,HEX
107e9b8b-4fbd-4480-a2c8-7c04ed09c65b,HH
1084e97c-91d6-4716-944b-a27f3216c3d3,TORX
10b8fdf3-ef61-4a16-be0b-4d0308964694,PH
10d1e4b9-f99f-4c96-8219-652b8865c7cc,HH
10d28336-fbc1-4d2e-b1f8-0eabcf6f09c9,HEX
10d918fd-27c5-4a21-910c-59594c63172f,HH
10dc609a-dc99-4ed3-a34f-c4a6bd583c12,HH
10dfdd84-c045-402c-bfbc-4beebfc94b93,PZ
10e0761a-b7f1-4d4e-b705-ffb8ec008d6b,HEX
10e45338-cad1-4ce5-81e9-97048c1264c8,TORX
10eb10fa-2b94-44f8-b824-26d0c170162b,TORX
10eeb6d1-e2e3-41a3-bf21-4e041dfe88f4,SLOT
10f43ee7-4f22-44be-818c-cd409ae56646,TORX
10fb9e92-e890-4ca6-a11a-5ea19e6543e6,HEX
110cea91-7856-4948-ab70-5b9925be8069,SLOT
111cbf60-cbbc-4fba-8ccc-8205307d1f76,HH
11217b99-9d49-4bb5-a758-0a37066e8f62,SLOT
1124b27d-c326-4844-8f17-5d5a8b425d63,PH
115f41cc-3d9d-4824-86a8-cc0eaa98782d,HEX
11634f74-a259-48d1-adea-1ae1dd12a0bd,HH
116d7263-5c6b-49ad-8e0d-8662e2d93cdc,TORX
1188819c-b921-49b8-a2aa-0addd1e22deb,HEX
118e992c-1065-4286-87bf-45a1a348c066,PH
11a132f6-be51-4aef-8ec7-247e964882cd,TORX
11ada7e6-7794-4a59-8c96-d7c78aad8efa,HH
11b67fcd-be3b-49b9-ab90-e7a7ea6d270e,PH
11b69d6c-908d-4cc8-ad43-4e37379e8daa,HH
11d60bd3-98c5-4c14-ae12-2a172956d2dc,HEX
11edc196-538d-426e-90e3-462b784a881a,HEX
12080b36-8996-4933-9e98-1d7bc0f4ace9,HH
122b9c83-0955-45ca-9f21-0783484ca809,PH
12302ad3-e8f7-4848-b1ea-01b32f304e23,HEX
1237d014-7c35-4f24-a776-6ea4ec9a8ac7,PH
123eee9f-0f80-4030-b088-38423a3597e3,TORX
12403890-ec67-4ce4-a1d6-8ab11227baa0,TORX
124204ce-3e05-4baf-b27e-06bf48bcba7f,PZ
12477b21-6de9-4cd5-b326-2f8b71bed231,SLOT
124f2d8f-7264-42e1-b21d-144e270a5a3d,SLOT
125c2c96-ea93-4057-a7bf-cdd1afc09139,SLOT
125d16bc-4396-42c8-ad48-c70cfb1fdef3,HEX
1275817e-db0a-4062-9aac-523adbbec45a,PZ
1278aa90-23bd-446d-82e7-23fd32534a22,HH
127baa0b-9b6a-49b3-8ff9-97ca3d1a8ae9,HEX
1287f472-058c-4c7e-b959-9f245b9b88b9,PZ
128aa66b-d017-4ec0-802f-6ce7db5725a5,HH
129523c1-aa5b-47c7-82c0-ea4454485dd2,HH
12a6c1da-93de-4eba-8dc3-3fce2847645f,TORX
12a8470e-aa76-490d-9813-115a3a914dfa,HEX
12abfd92-ceb0-448c-9faf-4e3b1a45b9da,PZ
12adcd11-0b2c-442e-b2a1-36d2805aeb73,SLOT
12aff47f-9a36-458a-b2fd-4095ed53f7ab,HH
12d27a96-b114-4303-ad48-8c5b787b1dce,SLOT
12e1da38-d6cd-4edf-9bad-eca15936d162,HEX
12ede3f6-8474-4e89-82ce-0fe49cf3a4ee,HEX
12f3d032-08a5-400f-92ae-138b1a5196a2,PZ
1301213c-2bdc-4434-ad60-6a4128773980,HH
1308a53c-62ed-4524-aafd-075c5f93eb71,TORX
1308f1a6-2c04-41de-a67b-28d7f97d9fe6,HH
130b3765-4049-48ac-a446-d29c32012f55,HH
1328d5ad-13aa-4bbc-82fd-0c22feb4e1de,SLOT
1338af97-58f9-4d92-9496-4119d073d3e7,PH
1338fe77-7958-4f84-8a69-376dcbae8366,PH
13623d02-dc20-4e8a-9738-6eef1887379a,HH
136e7abd-a927-4b0b-a26d-32944df601c0,HEX
136f7091-dbfa-4080-bc29-0f29bf9e95b4,HH
1370aea2-a64b-4b4f-baa5-14c6b7d3a14a,HEX
137908d3-d2d2-44c0-b425-b6a2cbe97b0c,PH
137afe21-041d-459e-9f35-cb157ee0220e,SLOT
137d0111-8f09-4f9e-a60f-6a91b3866532,PZ
1380e19c-e24b-4b5b-8307-7239b8dd1bee,HEX
138452f4-5c20-466a-a553-80e9b3d8ba0a,HH
1384672d-5299-47a3-a641-1253fecdc5d7,TORX
1384f7c9-f891-4220-a3b7-54dab71420b7,HEX
138639e4-76ad-4e92-89b7-822d81d7fcfd,SLOT
138bacaf-274f-414a-8e73-a2dd2b243858,HH
138f24a6-f985-4092-bda9-c5f1abfe6427,HEX
13959b0a-3ec9-41a0-a95b-c8adbb90eea6,HH
139a82a4-ba12-4f14-af67-14d82fa4593d,HH
13bb1247-86b3-4938-a9cb-ef0b8509e7f5,SLOT
