epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3766,2.1257,3.2126,0.00249,0.28803,0.65741,0.32269,0.15618,2.06882,2.8785,0.00267,2e-05,2e-05,0.09602
2,18.4771,2.24236,3.16369,0.00292,0.27619,0.6713,0.30265,0.14626,2.04735,2.92429,0.00265,4.49555e-05,4.49555e-05,0.091045
3,19.7734,2.12729,2.1011,0.00238,0.45246,0.39787,0.38779,0.16492,2.18496,2.10474,0.00279,6.98614e-05,6.98614e-05,0.0860699
4,21.1174,2.66143,2.32885,0.00236,0.44599,0.44724,0.3912,0.17017,2.16767,2.03926,0.00277,9.47179e-05,9.47179e-05,0.0810947
5,22.4766,2.49803,3.254,0.00286,0.42628,0.49537,0.40947,0.17913,2.16014,1.96363,0.00275,0.000119525,0.000119525,0.0761195
6,23.8202,2.57892,2.18398,0.00273,0.42628,0.49537,0.40947,0.17913,2.16014,1.96363,0.00275,0.000144282,0.000144282,0.0711443
7,25.3061,2.4943,2.00361,0.00237,0.42628,0.49537,0.40947,0.17913,2.16014,1.96363,0.00275,0.00016899,0.00016899,0.066169
8,26.6359,2.7428,2.8052,0.00264,0.43457,0.5463,0.43141,0.19008,2.13229,1.90852,0.00272,0.000193649,0.000193649,0.0611936
9,27.9301,1.80491,2.44748,0.00196,0.43457,0.5463,0.43141,0.19008,2.13229,1.90852,0.00272,0.000218258,0.000218258,0.0562183
10,29.2745,2.33064,2.25614,0.00249,0.43457,0.5463,0.43141,0.19008,2.13229,1.90852,0.00272,0.000242817,0.000242817,0.0512428
11,30.6161,2.13537,2.23272,0.00244,0.42902,0.60648,0.44036,0.19445,2.10412,1.88556,0.00269,0.000267327,0.000267327,0.0462673
12,32.0738,1.94439,2.53415,0.0018,0.42902,0.60648,0.44036,0.19445,2.10412,1.88556,0.00269,0.000291787,0.000291787,0.0412918
13,33.3787,3.10113,2.70683,0.00281,0.42902,0.60648,0.44036,0.19445,2.10412,1.88556,0.00269,0.000316198,0.000316198,0.0363162
14,34.7442,2.29819,2.79289,0.00239,0.42902,0.60648,0.44036,0.19445,2.10412,1.88556,0.00269,0.00034056,0.00034056,0.0313406
15,36.0421,1.83892,3.67738,0.00273,0.42902,0.60648,0.44036,0.19445,2.10412,1.88556,0.00269,0.000364872,0.000364872,0.0263649
16,37.4971,1.92744,2.71165,0.00205,0.42473,0.62037,0.45065,0.19959,2.1022,1.87642,0.00269,0.000389134,0.000389134,0.0213891
17,38.8514,2.52853,2.35463,0.00249,0.42473,0.62037,0.45065,0.19959,2.1022,1.87642,0.00269,0.000413347,0.000413347,0.0164133
18,40.171,1.8696,3.59585,0.00198,0.42473,0.62037,0.45065,0.19959,2.1022,1.87642,0.00269,0.000437511,0.000437511,0.0114375
19,41.4852,2.06712,2.03308,0.00257,0.42473,0.62037,0.45065,0.19959,2.1022,1.87642,0.00269,0.000461625,0.000461625,0.00646162
20,42.9214,1.92354,3.24895,0.00259,0.42473,0.62037,0.45065,0.19959,2.1022,1.87642,0.00269,0.000485689,0.000485689,0.00148569
21,44.2028,1.94351,3.26046,0.00215,0.42473,0.62037,0.45065,0.19959,2.1022,1.87642,0.00269,0.0004901,0.0004901,0.0004901
22,45.4996,2.58802,2.27931,0.00327,0.42473,0.62037,0.45065,0.19959,2.1022,1.87642,0.00269,0.000489605,0.000489605,0.000489605
23,46.836,2.63393,2.76246,0.0028,0.42775,0.65741,0.45352,0.20085,2.11712,1.84611,0.0027,0.00048911,0.00048911,0.00048911
24,48.229,1.65228,3.09194,0.00201,0.42775,0.65741,0.45352,0.20085,2.11712,1.84611,0.0027,0.000488615,0.000488615,0.000488615
25,49.7637,2.3809,1.74465,0.00302,0.42775,0.65741,0.45352,0.20085,2.11712,1.84611,0.0027,0.00048812,0.00048812,0.00048812
26,51.1874,2.60058,2.12723,0.00279,0.42775,0.65741,0.45352,0.20085,2.11712,1.84611,0.0027,0.000487625,0.000487625,0.000487625
27,52.6217,2.64144,1.9766,0.00231,0.42775,0.65741,0.45352,0.20085,2.11712,1.84611,0.0027,0.00048713,0.00048713,0.00048713
28,54.0383,2.38766,2.07936,0.00251,0.42775,0.65741,0.45352,0.20085,2.11712,1.84611,0.0027,0.000486635,0.000486635,0.000486635
29,55.6176,2.45824,1.71263,0.00272,0.51547,0.65741,0.58934,0.26346,2.13703,1.51513,0.00273,0.00048614,0.00048614,0.00048614
30,57.0589,2.30464,1.68078,0.00238,0.51547,0.65741,0.58934,0.26346,2.13703,1.51513,0.00273,0.000485645,0.000485645,0.000485645
31,58.4653,2.37849,1.60564,0.00282,0.51547,0.65741,0.58934,0.26346,2.13703,1.51513,0.00273,0.00048515,0.00048515,0.00048515
32,59.8828,2.24484,1.84317,0.00256,0.51547,0.65741,0.58934,0.26346,2.13703,1.51513,0.00273,0.000484655,0.000484655,0.000484655
