epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.948778,2.14789,3.08809,0.00256,0.47609,0.5,0.44013,0.22158,1.93894,1.91073,0.00249,0.0004,0.0004,0.0964
2,3.11162,2.70945,2.7027,0.00357,0.44013,0.50926,0.41649,0.20521,1.94952,1.93128,0.00252,0.000899109,0.000899109,0.0918991
3,4.27919,2.06106,2.25195,0.00239,0.42777,0.50463,0.4055,0.1987,1.96886,1.94185,0.00256,0.00139723,0.00139723,0.0873972
4,5.41217,3.00081,2.69767,0.00294,0.41601,0.51852,0.38885,0.19334,1.98499,1.96272,0.00259,0.00189436,0.00189436,0.0828944
5,6.55176,2.75808,3.53003,0.00326,0.40346,0.53229,0.37796,0.18383,2.00377,1.98453,0.00263,0.0023905,0.0023905,0.0783905
6,7.72939,2.48831,2.56094,0.0028,0.40346,0.53229,0.37796,0.18383,2.00377,1.98453,0.00263,0.00288564,0.00288564,0.0738856
7,9.07422,2.64992,2.51924,0.00278,0.40346,0.53229,0.37796,0.18383,2.00377,1.98453,0.00263,0.0033798,0.0033798,0.0693798
8,10.3037,3.20438,2.95271,0.00342,0.38433,0.5,0.37164,0.18002,2.03593,2.02092,0.0027,0.00387297,0.00387297,0.064873
9,11.3895,1.74682,2.53384,0.002,0.38433,0.5,0.37164,0.18002,2.03593,2.02092,0.0027,0.00436515,0.00436515,0.0603652
10,12.5036,2.4101,2.51996,0.00281,0.38433,0.5,0.37164,0.18002,2.03593,2.02092,0.0027,0.00485634,0.00485634,0.0558563
11,13.6351,2.46144,2.63866,0.00318,0.36754,0.49537,0.35888,0.17378,2.07223,2.07594,0.00277,0.00534654,0.00534654,0.0513465
12,14.7362,1.81698,2.6863,0.0018,0.36754,0.49537,0.35888,0.17378,2.07223,2.07594,0.00277,0.00583575,0.00583575,0.0468357
13,15.9937,3.52797,3.14117,0.00369,0.36754,0.49537,0.35888,0.17378,2.07223,2.07594,0.00277,0.00632397,0.00632397,0.042324
14,17.1082,2.19632,3.20379,0.00241,0.36754,0.49537,0.35888,0.17378,2.07223,2.07594,0.00277,0.0068112,0.0068112,0.0378112
15,18.1963,1.53196,3.30541,0.00235,0.36754,0.49537,0.35888,0.17378,2.07223,2.07594,0.00277,0.00729744,0.00729744,0.0332974
