run_id,combo_index,seed_repeat,training_params.seed,mp,mr,map50,map,output_dir,training_params.trainability_policy,training_params.learning_rate,training_params.weight_decay
run_001,1,1,941800892,0.697597127399609,0.7453703703703703,0.7514719326778946,0.3530254559473496,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_001,head_only,0.01,0.0
run_002,1,2,1781260929,0.697597127399609,0.7453703703703703,0.7514719326778946,0.3530254559473496,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_002,head_only,0.01,0.0
run_003,2,1,1095435656,0.7199723919140981,0.7379992153591309,0.73186499031163,0.3507391424364349,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_003,head_only,0.01,0.001
run_004,2,2,302914985,0.7199723919140981,0.7379992153591309,0.73186499031163,0.3507391424364349,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_004,head_only,0.01,0.001
run_005,3,1,337436412,0.22641509433962265,0.7777777777777778,0.3525387059559126,0.18583128825228412,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_005,head_only,0.001,0.0
run_006,3,2,1084172679,0.22641509433962265,0.7777777777777778,0.3525387059559126,0.18583128825228412,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_006,head_only,0.001,0.0
run_007,4,1,2018226899,0.22641509433962265,0.7777777777777778,0.3525387059559126,0.18583128825228412,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_007,head_only,0.001,0.001
run_008,4,2,1238126744,0.22641509433962265,0.7777777777777778,0.3525387059559126,0.18583128825228412,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_008,head_only,0.001,0.001
run_009,5,1,618759150,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583812049543305,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_009,head_only,0.0001,0.0
run_010,5,2,2125939095,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583812049543305,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_010,head_only,0.0001,0.0
run_011,6,1,313355093,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583812049543305,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_011,head_only,0.0001,0.001
run_012,6,2,1278818215,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583812049543305,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_012,head_only,0.0001,0.001
run_013,7,1,1164794961,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583876486559597,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_013,head_only,1e-05,0.0
run_014,7,2,405503548,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583876486559597,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_014,head_only,1e-05,0.0
run_015,8,1,1951517186,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583876486559597,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_015,head_only,1e-05,0.001
run_016,8,2,209545455,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583876486559597,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_016,head_only,1e-05,0.001
run_017,9,1,510107334,0.8431631101083742,0.8287037037037037,0.8638162367568969,0.41098874266057867,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_017,head_and_last_stage,0.01,0.0
run_018,9,2,34677595,0.8431631101083742,0.8287037037037037,0.8638162367568969,0.41098874266057867,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_018,head_and_last_stage,0.01,0.0
run_019,10,1,393733721,0.9376149835271079,0.8148148148148148,0.887956296132496,0.43816966284419917,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_019,head_and_last_stage,0.01,0.001
run_020,10,2,1846487151,0.9376149835271079,0.8148148148148148,0.887956296132496,0.43816966284419917,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_020,head_and_last_stage,0.01,0.001
run_021,11,1,604215506,0.9464461786779578,0.7175925925925926,0.8527442415246284,0.42002685715691684,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_021,head_and_last_stage,0.001,0.0
run_022,11,2,2144391428,0.9464461786779578,0.7175925925925926,0.8527442415246284,0.42002685715691684,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_022,head_and_last_stage,0.001,0.0
run_023,12,1,2023309017,0.8331642628265663,0.7916666666666666,0.8509443747552979,0.4108675979785062,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_023,head_and_last_stage,0.001,0.001
