config_id,combo_index,rank,n_runs,n_success,training_params.trainability_policy,training_params.learning_rate,training_params.weight_decay,map_mean,map_std,map50_mean,map50_std,mp_mean,mp_std,mr_mean,mr_std,f1_mean,f1_std
cfg001,1,9,2,2,head_only,0.01,0.0,0.3530254559473496,0.0,0.7514719326778946,0.0,0.697597127399609,0.0,0.7453703703703703,0.0,0.7206929193107025,0.0
cfg002,2,10,2,2,head_only,0.01,0.001,0.3507391424364349,0.0,0.73186499031163,0.0,0.7199723919140981,0.0,0.7379992153591309,0.0,0.7288743589548741,0.0
cfg003,3,31,2,2,head_only,0.001,0.0,0.18583128825228412,0.0,0.3525387059559126,0.0,0.22641509433962265,0.0,0.7777777777777778,0.0,0.35073068893528186,0.0
cfg004,4,32,2,2,head_only,0.001,0.001,0.18583128825228412,0.0,0.3525387059559126,0.0,0.22641509433962265,0.0,0.7777777777777778,0.0,0.35073068893528186,0.0
cfg005,5,29,2,2,head_only,0.0001,0.0,0.18583812049543305,0.0,0.35251518929032966,0.0,0.22672064777327935,0.0,0.7777777777777778,0.0,0.3510971786833856,0.0
cfg006,6,30,2,2,head_only,0.0001,0.001,0.18583812049543305,0.0,0.35251518929032966,0.0,0.22672064777327935,0.0,0.7777777777777778,0.0,0.3510971786833856,0.0
cfg007,7,27,2,2,head_only,1e-05,0.0,0.18583876486559597,0.0,0.35251518929032966,0.0,0.22672064777327935,0.0,0.7777777777777778,0.0,0.3510971786833856,0.0
cfg008,8,28,2,2,head_only,1e-05,0.001,0.18583876486559597,0.0,0.35251518929032966,0.0,0.22672064777327935,0.0,0.7777777777777778,0.0,0.3510971786833856,0.0
cfg009,9,7,2,2,head_and_last_stage,0.01,0.0,0.41098874266057867,0.0,0.8638162367568969,0.0,0.8431631101083742,0.0,0.8287037037037037,0.0,0.8358708796664741,0.0
cfg010,10,1,2,2,head_and_last_stage,0.01,0.001,0.43816966284419917,0.0,0.887956296132496,0.0,0.9376149835271079,0.0,0.8148148148148148,0.0,0.8719123355390157,0.0
cfg011,11,4,2,2,head_and_last_stage,0.001,0.0,0.42002685715691684,0.0,0.8527442415246284,0.0,0.9464461786779578,0.0,0.7175925925925926,0.0,0.8162823833585368,0.0
cfg012,12,8,2,2,head_and_last_stage,0.001,0.001,0.4108675979785062,0.0,0.8509443747552979,0.0,0.8331642628265663,0.0,0.7916666666666666,0.0,0.8118855479239514,0.0
cfg013,13,23,2,2,head_and_last_stage,0.0001,0.0,0.2062302044074183,0.0,0.4100460152157943,0.0,0.46580804199787695,0.0,0.4844415631440199,0.0,0.4749421094614617,0.0
cfg014,14,24,2,2,head_and_last_stage,0.0001,0.001,0.2062302044074183,0.0,0.4100460152157943,0.0,0.46580804199787695,0.0,0.4844415631440199,0.0,0.4749421094614617,0.0
