n_runs,parameter,parameter_label,value,display_label,map_mean,map_std,map_global_mean,map_delta_from_global,map_improvement
30,training_params.trainability_policy,trainability_policy,head_only,trainability_policy=head_only,0.6202609903081187,0.0548051373947331,0.6663808343859974,-0.046119844077878724,-0.046119844077878724
30,training_params.trainability_policy,trainability_policy,head_and_last_stage,trainability_policy=head_and_last_stage,0.6926217759559924,0.09443088964734482,0.6663808343859974,0.026240941569995013,0.026240941569995013
30,training_params.trainability_policy,trainability_policy,backbone_frozen,trainability_policy=backbone_frozen,0.6862597368938812,0.08704099427336127,0.6663808343859974,0.019878902507883822,0.019878902507883822
18,training_params.learning_rate,learning_rate,0.05,learning_rate=0.05,0.5685788065651785,0.03695802714818737,0.6663808343859974,-0.09780202782081893,-0.09780202782081893
18,training_params.learning_rate,learning_rate,0.01,learning_rate=0.01,0.7337914664321568,0.05668515920616657,0.6663808343859974,0.06741063204615938,0.06741063204615938
18,training_params.learning_rate,learning_rate,0.005,learning_rate=0.005,0.738907598100033,0.06526046785993671,0.6663808343859974,0.07252676371403566,0.07252676371403566
18,training_params.learning_rate,learning_rate,0.001,learning_rate=0.001,0.688064667116312,0.05548677746652218,0.6663808343859974,0.0216838327303146,0.0216838327303146
18,training_params.learning_rate,learning_rate,0.0001,learning_rate=0.0001,0.6025616337163069,0.04110356771801008,0.6663808343859974,-0.06381920066969049,-0.06381920066969049
30,training_params.weight_decay,weight_decay,0.0,weight_decay=0.0,0.6649427469238025,0.07376366285783643,0.6663808343859974,-0.0014380874621948703,-0.0014380874621948703
30,training_params.weight_decay,weight_decay,0.001,weight_decay=0.001,0.6660732969512946,0.09822491021375764,0.6663808343859974,-0.00030753743470279815,-0.00030753743470279815
30,training_params.weight_decay,weight_decay,0.01,weight_decay=0.01,0.6681264592828953,0.08788540933649859,0.6663808343859974,0.0017456248968978905,0.0017456248968978905
