epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.01805,1.68968,1.6982,0.00943,0.79803,0.78205,0.82819,0.57353,1.23094,0.85739,0.00709,4e-06,4e-06,0.096004
2,3.17909,1.47634,1.15093,0.00723,0.7921,0.78153,0.83538,0.56673,1.25688,0.79783,0.00724,8.99109e-06,8.99109e-06,0.091009
3,4.31077,1.50139,1.58155,0.00933,0.74845,0.80111,0.83421,0.56725,1.23615,0.82927,0.00714,1.39723e-05,1.39723e-05,0.086014
4,5.48565,1.38962,1.1786,0.00717,0.7196,0.82256,0.83118,0.5678,1.23263,0.89468,0.00702,1.89436e-05,1.89436e-05,0.0810189
5,6.65991,1.25623,1.04331,0.00643,0.84683,0.71795,0.8166,0.57114,1.13444,1.11854,0.00633,2.3905e-05,2.3905e-05,0.0760239
6,7.74391,1.47562,1.36446,0.00869,0.84683,0.71795,0.8166,0.57114,1.13444,1.11854,0.00633,2.88565e-05,2.88565e-05,0.0710289
7,8.84565,1.39331,1.62706,0.00907,0.84683,0.71795,0.8166,0.57114,1.13444,1.11854,0.00633,3.3798e-05,3.3798e-05,0.0660338
8,10.1092,1.19837,1.02864,0.00592,0.79736,0.75669,0.81098,0.57631,1.1657,1.08917,0.00661,3.87297e-05,3.87297e-05,0.0610387
9,11.1746,1.32278,0.8231,0.00684,0.79736,0.75669,0.81098,0.57631,1.1657,1.08917,0.00661,4.36515e-05,4.36515e-05,0.0560437
10,12.2177,1.24199,0.72319,0.00594,0.79736,0.75669,0.81098,0.57631,1.1657,1.08917,0.00661,4.85634e-05,4.85634e-05,0.0510486
11,13.3153,1.34394,1.10456,0.00793,0.75661,0.78205,0.82794,0.58107,1.16283,1.07138,0.00647,5.34654e-05,5.34654e-05,0.0460535
12,14.3888,1.37888,1.18506,0.00771,0.75661,0.78205,0.82794,0.58107,1.16283,1.07138,0.00647,5.83575e-05,5.83575e-05,0.0410584
