epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3729,1.54672,1.32401,0.00798,0.86203,0.79524,0.85168,0.52912,1.45242,1.03481,0.00777,0.00035,0.00035,0.09335
2,31.6518,1.4959,0.99281,0.00665,0.85605,0.8,0.84638,0.52776,1.46474,1.00718,0.00788,0.000749258,0.000749258,0.0857493
3,33.2354,1.69298,1.31994,0.01081,0.82207,0.85455,0.89327,0.57565,1.35426,0.95049,0.00746,0.00114772,0.00114772,0.0781477
4,34.7689,1.33129,1.06932,0.00665,0.84592,0.90909,0.91205,0.61155,1.24149,1.84272,0.00702,0.0015454,0.0015454,0.0705454
5,36.2331,1.51923,1.14689,0.00987,0.80019,0.87378,0.89826,0.61776,1.15055,2.67182,0.0066,0.00194228,0.00194228,0.0629423
6,37.5516,1.40268,1.07076,0.00762,0.80019,0.87378,0.89826,0.61776,1.15055,2.67182,0.0066,0.00233837,0.00233837,0.0553384
7,38.9182,1.3184,0.95913,0.00545,0.82481,0.85455,0.9063,0.63249,1.06273,1.54331,0.00565,0.00273366,0.00273366,0.0477337
8,40.2495,1.41886,1.20683,0.0083,0.82481,0.85455,0.9063,0.63249,1.06273,1.54331,0.00565,0.00312817,0.00312817,0.0401282
9,41.4439,1.32209,1.25969,0.00828,0.82481,0.85455,0.9063,0.63249,1.06273,1.54331,0.00565,0.00352188,0.00352188,0.0325219
10,42.703,1.36924,1.06978,0.00779,0.8977,0.81818,0.8973,0.66117,0.97831,1.13421,0.00536,0.00391481,0.00391481,0.0249148
11,43.8797,1.16221,1.01381,0.00652,0.8977,0.81818,0.8973,0.66117,0.97831,1.13421,0.00536,0.00430694,0.00430694,0.0173069
12,45.1913,1.2822,1.16714,0.00704,0.8977,0.81818,0.8973,0.66117,0.97831,1.13421,0.00536,0.00469827,0.00469827,0.00969827
13,46.4656,1.22776,1.1126,0.00695,0.8977,0.81818,0.8973,0.66117,0.97831,1.13421,0.00536,0.0049406,0.0049406,0.0049406
14,47.8019,1.14395,1.0377,0.00573,0.81273,0.89091,0.90886,0.63323,1.09782,0.87009,0.00625,0.00493565,0.00493565,0.00493565
