epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8271,3.21149,4.68613,0.00289,0.02752,0.05172,0.01492,0.00481,3.22698,5.19689,0.00326,0.00035,0.00035,0.09335
2,32.1207,2.99852,4.42543,0.00256,0.02752,0.05172,0.01516,0.0054,3.23786,5.17914,0.00324,0.000749258,0.000749258,0.0857493
3,33.6389,2.7053,4.28102,0.00247,0.02655,0.05172,0.01417,0.0051,3.19909,5.23397,0.00323,0.00114772,0.00114772,0.0781477
4,34.9628,3.30608,4.91296,0.00287,0.02703,0.05172,0.01428,0.00658,3.16109,5.26468,0.00318,0.0015454,0.0015454,0.0705454
5,36.3732,2.93853,4.55823,0.00265,0.02451,0.25862,0.02675,0.0129,2.64325,3.71186,0.00216,0.00194228,0.00194228,0.0629423
6,37.9445,3.75864,4.05316,0.00308,0.02451,0.25862,0.02675,0.0129,2.64325,3.71186,0.00216,0.00233837,0.00233837,0.0553384
7,39.4973,3.27991,3.97605,0.00241,0.19414,0.17241,0.11161,0.03663,2.60657,2.48594,0.00191,0.00273366,0.00273366,0.0477337
8,41.057,2.88177,3.31393,0.002,0.19414,0.17241,0.11161,0.03663,2.60657,2.48594,0.00191,0.00312817,0.00312817,0.0401282
9,42.6815,2.89183,2.81916,0.00219,0.19414,0.17241,0.11161,0.03663,2.60657,2.48594,0.00191,0.00352188,0.00352188,0.0325219
10,44.2332,3.29859,2.88933,0.00227,0.2396,0.27586,0.13698,0.04633,2.66977,4.00375,0.00187,0.00391481,0.00391481,0.0249148
11,45.7977,3.18788,3.21075,0.00212,0.2396,0.27586,0.13698,0.04633,2.66977,4.00375,0.00187,0.00430694,0.00430694,0.0173069
12,47.3457,3.10174,3.37437,0.00219,0.2396,0.27586,0.13698,0.04633,2.66977,4.00375,0.00187,0.00469827,0.00469827,0.00969827
13,48.9812,2.9013,3.14086,0.0019,0.2396,0.27586,0.13698,0.04633,2.66977,4.00375,0.00187,0.0049406,0.0049406,0.0049406
14,50.5832,2.72097,3.43204,0.00173,0.27938,0.31034,0.16515,0.0494,2.54358,2.60971,0.00185,0.00493565,0.00493565,0.00493565
15,52.112,2.88232,2.9344,0.00187,0.27938,0.31034,0.16515,0.0494,2.54358,2.60971,0.00185,0.0049307,0.0049307,0.0049307
16,53.6182,3.48789,3.60349,0.00221,0.27938,0.31034,0.16515,0.0494,2.54358,2.60971,0.00185,0.00492575,0.00492575,0.00492575
17,55.1926,3.27208,3.63066,0.00208,0.27938,0.31034,0.16515,0.0494,2.54358,2.60971,0.00185,0.0049208,0.0049208,0.0049208
18,56.7697,3.08325,4.33774,0.00193,0.19414,0.22414,0.11162,0.03359,2.77607,5.52247,0.00193,0.00491585,0.00491585,0.00491585
19,58.4532,3.49069,4.24893,0.00225,0.19414,0.22414,0.11162,0.03359,2.77607,5.52247,0.00193,0.0049109,0.0049109,0.0049109
20,59.9048,3.36484,3.73335,0.00221,0.19414,0.22414,0.11162,0.03359,2.77607,5.52247,0.00193,0.00490595,0.00490595,0.00490595
21,61.3478,3.29457,3.86018,0.00204,0.19414,0.22414,0.11162,0.03359,2.77607,5.52247,0.00193,0.004901,0.004901,0.004901
22,62.8048,2.9291,4.21415,0.00181,0.19329,0.23963,0.10665,0.03402,2.78857,5.39415,0.00194,0.00489605,0.00489605,0.00489605
23,64.2657,3.15359,3.4911,0.00196,0.19329,0.23963,0.10665,0.03402,2.78857,5.39415,0.00194,0.0048911,0.0048911,0.0048911
24,65.8207,2.98752,3.81982,0.00199,0.19329,0.23963,0.10665,0.03402,2.78857,5.39415,0.00194,0.00488615,0.00488615,0.00488615
25,67.2983,2.78523,3.046,0.00184,0.19329,0.23963,0.10665,0.03402,2.78857,5.39415,0.00194,0.0048812,0.0048812,0.0048812
26,68.8318,2.72606,3.02736,0.0016,0.20285,0.25887,0.14284,0.04125,2.66285,3.27701,0.00191,0.00487625,0.00487625,0.00487625
27,70.3456,2.96174,2.68039,0.00183,0.20285,0.25887,0.14284,0.04125,2.66285,3.27701,0.00191,0.0048713,0.0048713,0.0048713
28,71.8038,3.09771,3.27992,0.00191,0.20285,0.25887,0.14284,0.04125,2.66285,3.27701,0.00191,0.00486635,0.00486635,0.00486635
29,73.394,3.18086,3.17386,0.00213,0.20285,0.25887,0.14284,0.04125,2.66285,3.27701,0.00191,0.0048614,0.0048614,0.0048614
30,74.868,3.21394,3.24416,0.00198,0.27783,0.18966,0.1611,0.04836,2.59854,2.62632,0.00193,0.00485645,0.00485645,0.00485645
31,76.2977,2.40039,2.68694,0.00175,0.27783,0.18966,0.1611,0.04836,2.59854,2.62632,0.00193,0.0048515,0.0048515,0.0048515
32,77.725,2.78411,2.67472,0.00194,0.27783,0.18966,0.1611,0.04836,2.59854,2.62632,0.00193,0.00484655,0.00484655,0.00484655
33,79.2617,2.93814,3.02027,0.00193,0.27783,0.18966,0.1611,0.04836,2.59854,2.62632,0.00193,0.0048416,0.0048416,0.0048416
34,80.9033,2.91063,3.00085,0.00202,0.29873,0.12069,0.16865,0.04732,2.47867,2.46912,0.0019,0.00483665,0.00483665,0.00483665
35,82.3823,3.03511,2.88204,0.00179,0.29873,0.12069,0.16865,0.04732,2.47867,2.46912,0.0019,0.0048317,0.0048317,0.0048317
36,84.0042,2.77707,2.81286,0.00188,0.29873,0.12069,0.16865,0.04732,2.47867,2.46912,0.0019,0.00482675,0.00482675,0.00482675
37,85.4899,3.11395,3.24271,0.00208,0.29873,0.12069,0.16865,0.04732,2.47867,2.46912,0.0019,0.0048218,0.0048218,0.0048218
38,86.963,3.45033,3.02709,0.0022,0.10776,0.43103,0.17779,0.05614,2.42186,2.48935,0.00183,0.00481685,0.00481685,0.00481685
39,88.6317,3.02315,2.98741,0.002,0.10776,0.43103,0.17779,0.05614,2.42186,2.48935,0.00183,0.0048119,0.0048119,0.0048119
40,90.1761,3.15607,3.13959,0.00199,0.10776,0.43103,0.17779,0.05614,2.42186,2.48935,0.00183,0.00480695,0.00480695,0.00480695
41,91.6954,3.11731,3.02464,0.00184,0.10776,0.43103,0.17779,0.05614,2.42186,2.48935,0.00183,0.004802,0.004802,0.004802
42,93.2623,2.74952,2.8258,0.0018,0.01423,0.65517,0.20518,0.07102,2.3044,2.50761,0.00166,0.00479705,0.00479705,0.00479705
43,94.765,2.8158,3.14605,0.00171,0.01423,0.65517,0.20518,0.07102,2.3044,2.50761,0.00166,0.0047921,0.0047921,0.0047921
44,96.3877,2.92204,2.98805,0.00183,0.01423,0.65517,0.20518,0.07102,2.3044,2.50761,0.00166,0.00478715,0.00478715,0.00478715
45,97.9168,2.95196,2.95468,0.00172,0.01423,0.65517,0.20518,0.07102,2.3044,2.50761,0.00166,0.0047822,0.0047822,0.0047822
46,99.5342,2.70111,2.80472,0.00152,0.01642,0.67241,0.23521,0.09196,2.1882,2.51687,0.00149,0.00477725,0.00477725,0.00477725
47,101.004,2.64509,2.8913,0.00163,0.01642,0.67241,0.23521,0.09196,2.1882,2.51687,0.00149,0.0047723,0.0047723,0.0047723
48,102.561,2.51706,2.93654,0.00159,0.01642,0.67241,0.23521,0.09196,2.1882,2.51687,0.00149,0.00476735,0.00476735,0.00476735
49,104.203,2.75096,3.03925,0.00179,0.01642,0.67241,0.23521,0.09196,2.1882,2.51687,0.00149,0.0047624,0.0047624,0.0047624
50,105.748,3.1592,3.05375,0.00176,0.0191,0.7069,0.23795,0.09564,2.18153,2.46281,0.00147,0.00475745,0.00475745,0.00475745
51,107.242,2.59833,2.76736,0.0016,0.0191,0.7069,0.23795,0.09564,2.18153,2.46281,0.00147,0.0047525,0.0047525,0.0047525
52,108.689,3.05348,3.18066,0.0016,0.0191,0.7069,0.23795,0.09564,2.18153,2.46281,0.00147,0.00474755,0.00474755,0.00474755
53,110.207,2.78648,3.01409,0.00173,0.0191,0.7069,0.23795,0.09564,2.18153,2.46281,0.00147,0.0047426,0.0047426,0.0047426
54,111.759,3.0037,2.98732,0.00173,0.01891,0.68966,0.28208,0.10381,2.23487,2.40087,0.00152,0.00473765,0.00473765,0.00473765
55,113.517,2.85176,2.74658,0.00158,0.01891,0.68966,0.28208,0.10381,2.23487,2.40087,0.00152,0.0047327,0.0047327,0.0047327
56,114.988,2.70513,2.79013,0.00165,0.01891,0.68966,0.28208,0.10381,2.23487,2.40087,0.00152,0.00472775,0.00472775,0.00472775
57,116.554,2.60277,2.92513,0.00146,0.01891,0.68966,0.28208,0.10381,2.23487,2.40087,0.00152,0.0047228,0.0047228,0.0047228
58,118.223,2.54578,2.78909,0.00152,0.08721,0.55172,0.25352,0.09332,2.41103,2.3276,0.00159,0.00471785,0.00471785,0.00471785
59,119.725,2.53855,2.64037,0.00149,0.08721,0.55172,0.25352,0.09332,2.41103,2.3276,0.00159,0.0047129,0.0047129,0.0047129
60,121.299,2.93682,2.94041,0.00159,0.08721,0.55172,0.25352,0.09332,2.41103,2.3276,0.00159,0.00470795,0.00470795,0.00470795
61,122.724,2.74606,2.69975,0.00168,0.08721,0.55172,0.25352,0.09332,2.41103,2.3276,0.00159,0.004703,0.004703,0.004703
62,124.102,2.87724,2.84526,0.0016,0.29858,0.36207,0.25338,0.09245,2.46,2.25271,0.00161,0.00469805,0.00469805,0.00469805
63,125.656,3.26959,2.90332,0.00167,0.29858,0.36207,0.25338,0.09245,2.46,2.25271,0.00161,0.0046931,0.0046931,0.0046931
64,127.147,3.05427,2.75173,0.00158,0.29858,0.36207,0.25338,0.09245,2.46,2.25271,0.00161,0.00468815,0.00468815,0.00468815
65,128.71,2.58542,2.60912,0.00165,0.29858,0.36207,0.25338,0.09245,2.46,2.25271,0.00161,0.0046832,0.0046832,0.0046832
66,130.145,2.63733,2.69205,0.00165,0.38211,0.25862,0.25414,0.10894,2.26796,2.16963,0.00154,0.00467825,0.00467825,0.00467825
67,131.582,2.50494,2.50899,0.00147,0.38211,0.25862,0.25414,0.10894,2.26796,2.16963,0.00154,0.0046733,0.0046733,0.0046733
68,133.042,2.83351,2.52485,0.00159,0.38211,0.25862,0.25414,0.10894,2.26796,2.16963,0.00154,0.00466835,0.00466835,0.00466835
69,134.526,2.80238,2.43272,0.00157,0.38211,0.25862,0.25414,0.10894,2.26796,2.16963,0.00154,0.0046634,0.0046634,0.0046634
70,136.22,2.69879,2.68767,0.00142,0.35323,0.3014,0.25524,0.10936,2.28483,2.13479,0.00153,0.00465845,0.00465845,0.00465845
71,137.636,2.69845,2.69182,0.0014,0.35323,0.3014,0.25524,0.10936,2.28483,2.13479,0.00153,0.0046535,0.0046535,0.0046535
72,139.043,2.63713,2.55847,0.0018,0.35323,0.3014,0.25524,0.10936,2.28483,2.13479,0.00153,0.00464855,0.00464855,0.00464855
73,140.387,2.31438,2.51045,0.00136,0.35323,0.3014,0.25524,0.10936,2.28483,2.13479,0.00153,0.0046436,0.0046436,0.0046436
74,141.805,2.7886,2.70084,0.00157,0.34706,0.27586,0.25191,0.11239,2.21128,2.16084,0.00152,0.00463865,0.00463865,0.00463865
75,143.15,2.27293,2.70256,0.00145,0.34706,0.27586,0.25191,0.11239,2.21128,2.16084,0.00152,0.0046337,0.0046337,0.0046337
76,144.85,2.88049,3.06097,0.00171,0.34706,0.27586,0.25191,0.11239,2.21128,2.16084,0.00152,0.00462875,0.00462875,0.00462875
77,146.155,2.69368,2.70176,0.00145,0.34706,0.27586,0.25191,0.11239,2.21128,2.16084,0.00152,0.0046238,0.0046238,0.0046238
78,147.541,2.75142,2.46093,0.0016,0.37701,0.27136,0.25975,0.11413,2.24929,2.14153,0.00155,0.00461885,0.00461885,0.00461885
79,148.91,2.58913,2.42192,0.00155,0.37701,0.27136,0.25975,0.11413,2.24929,2.14153,0.00155,0.0046139,0.0046139,0.0046139
80,150.314,2.80994,2.64412,0.00166,0.37701,0.27136,0.25975,0.11413,2.24929,2.14153,0.00155,0.00460895,0.00460895,0.00460895
81,151.622,2.41622,2.66419,0.00142,0.37701,0.27136,0.25975,0.11413,2.24929,2.14153,0.00155,0.004604,0.004604,0.004604
82,153.128,2.86751,2.72238,0.00152,0.37211,0.2931,0.26842,0.11523,2.25051,2.14322,0.00154,0.00459905,0.00459905,0.00459905
83,154.38,2.75214,3.02208,0.00158,0.37211,0.2931,0.26842,0.11523,2.25051,2.14322,0.00154,0.0045941,0.0045941,0.0045941
84,155.675,2.49328,2.61263,0.00152,0.37211,0.2931,0.26842,0.11523,2.25051,2.14322,0.00154,0.00458915,0.00458915,0.00458915
85,157.155,2.56377,2.76654,0.00146,0.37211,0.2931,0.26842,0.11523,2.25051,2.14322,0.00154,0.0045842,0.0045842,0.0045842
86,158.686,2.11082,2.39139,0.00139,0.36712,0.2931,0.2729,0.12213,2.29709,2.04283,0.00159,0.00457925,0.00457925,0.00457925
87,160.063,2.77797,2.52726,0.0016,0.36712,0.2931,0.2729,0.12213,2.29709,2.04283,0.00159,0.0045743,0.0045743,0.0045743
88,161.418,2.42187,2.30323,0.00154,0.36712,0.2931,0.2729,0.12213,2.29709,2.04283,0.00159,0.00456935,0.00456935,0.00456935
89,162.876,2.82142,2.60015,0.00175,0.36712,0.2931,0.2729,0.12213,2.29709,2.04283,0.00159,0.0045644,0.0045644,0.0045644
90,164.438,3.00352,2.7879,0.00164,0.33084,0.2931,0.27252,0.12119,2.28998,2.04094,0.00158,0.00455945,0.00455945,0.00455945
91,166.063,2.22459,2.20913,0.00134,0.33084,0.2931,0.27252,0.12119,2.28998,2.04094,0.00158,0.0045545,0.0045545,0.0045545
92,167.492,2.24964,2.41057,0.00133,0.33084,0.2931,0.27252,0.12119,2.28998,2.04094,0.00158,0.00454955,0.00454955,0.00454955
93,168.931,2.53278,2.43406,0.00149,0.33084,0.2931,0.27252,0.12119,2.28998,2.04094,0.00158,0.0045446,0.0045446,0.0045446
94,170.491,2.65087,2.56924,0.00159,0.43302,0.31034,0.30102,0.12954,2.27981,2.11102,0.00154,0.00453965,0.00453965,0.00453965
95,171.981,2.65092,2.5553,0.00139,0.43302,0.31034,0.30102,0.12954,2.27981,2.11102,0.00154,0.0045347,0.0045347,0.0045347
96,173.716,2.47257,2.47977,0.00137,0.43302,0.31034,0.30102,0.12954,2.27981,2.11102,0.00154,0.00452975,0.00452975,0.00452975
97,175.268,2.61844,2.49469,0.00153,0.43302,0.31034,0.30102,0.12954,2.27981,2.11102,0.00154,0.0045248,0.0045248,0.0045248
98,176.816,2.86545,2.75223,0.00153,0.40952,0.2931,0.28862,0.12616,2.28992,2.13761,0.0015,0.00451985,0.00451985,0.00451985
99,178.284,2.74746,2.60674,0.00145,0.40952,0.2931,0.28862,0.12616,2.28992,2.13761,0.0015,0.0045149,0.0045149,0.0045149
100,179.776,2.62326,2.33766,0.00175,0.40952,0.2931,0.28862,0.12616,2.28992,2.13761,0.0015,0.00450995,0.00450995,0.00450995
101,181.319,2.76702,2.41426,0.00167,0.40952,0.2931,0.28862,0.12616,2.28992,2.13761,0.0015,0.004505,0.004505,0.004505
102,182.877,2.79012,2.43071,0.00151,0.40497,0.29336,0.31054,0.13588,2.24738,2.10184,0.00147,0.00450005,0.00450005,0.00450005
103,184.28,2.55546,2.49062,0.00139,0.40497,0.29336,0.31054,0.13588,2.24738,2.10184,0.00147,0.0044951,0.0044951,0.0044951
104,185.836,2.25239,2.41281,0.00147,0.40497,0.29336,0.31054,0.13588,2.24738,2.10184,0.00147,0.00449015,0.00449015,0.00449015
105,187.32,2.62735,2.58554,0.00154,0.40497,0.29336,0.31054,0.13588,2.24738,2.10184,0.00147,0.0044852,0.0044852,0.0044852
106,188.937,2.93133,2.64697,0.00156,0.40841,0.2931,0.30974,0.13893,2.156,1.98935,0.00145,0.00448025,0.00448025,0.00448025
107,190.479,2.57313,2.29638,0.00152,0.40841,0.2931,0.30974,0.13893,2.156,1.98935,0.00145,0.0044753,0.0044753,0.0044753
108,191.93,2.53852,2.2079,0.00143,0.40841,0.2931,0.30974,0.13893,2.156,1.98935,0.00145,0.00447035,0.00447035,0.00447035
109,193.447,2.74938,2.52586,0.00142,0.40841,0.2931,0.30974,0.13893,2.156,1.98935,0.00145,0.0044654,0.0044654,0.0044654
110,195.063,2.67243,2.59799,0.00148,0.43616,0.2931,0.30704,0.13309,2.19744,1.94194,0.00147,0.00446045,0.00446045,0.00446045
111,196.662,2.61481,2.24457,0.00155,0.43616,0.2931,0.30704,0.13309,2.19744,1.94194,0.00147,0.0044555,0.0044555,0.0044555
112,198.137,2.99877,2.38087,0.00155,0.43616,0.2931,0.30704,0.13309,2.19744,1.94194,0.00147,0.00445055,0.00445055,0.00445055
113,199.622,2.62354,2.32261,0.00146,0.43616,0.2931,0.30704,0.13309,2.19744,1.94194,0.00147,0.0044456,0.0044456,0.0044456
114,201.07,2.5878,2.22719,0.0015,0.44081,0.32759,0.30657,0.13364,2.2488,1.89628,0.00151,0.00444065,0.00444065,0.00444065
115,202.499,2.17914,1.94896,0.00125,0.44081,0.32759,0.30657,0.13364,2.2488,1.89628,0.00151,0.0044357,0.0044357,0.0044357
116,203.939,2.32817,2.52777,0.0014,0.44081,0.32759,0.30657,0.13364,2.2488,1.89628,0.00151,0.00443075,0.00443075,0.00443075
117,205.543,2.53294,2.3936,0.00149,0.44081,0.32759,0.30657,0.13364,2.2488,1.89628,0.00151,0.0044258,0.0044258,0.0044258
118,207.053,2.66319,2.43629,0.00146,0.41396,0.34483,0.30077,0.13575,2.24864,1.85824,0.00151,0.00442085,0.00442085,0.00442085
119,208.467,2.21442,2.18744,0.00122,0.41396,0.34483,0.30077,0.13575,2.24864,1.85824,0.00151,0.0044159,0.0044159,0.0044159
120,209.922,2.4523,2.42948,0.00154,0.41396,0.34483,0.30077,0.13575,2.24864,1.85824,0.00151,0.00441095,0.00441095,0.00441095
121,211.409,2.57863,1.95984,0.0015,0.41396,0.34483,0.30077,0.13575,2.24864,1.85824,0.00151,0.004406,0.004406,0.004406
122,212.947,2.62741,2.39823,0.0015,0.46103,0.37931,0.32682,0.14194,2.29559,1.82675,0.00154,0.00440105,0.00440105,0.00440105
123,214.506,2.70681,2.48933,0.00151,0.46103,0.37931,0.32682,0.14194,2.29559,1.82675,0.00154,0.0043961,0.0043961,0.0043961
124,215.935,2.38323,2.17622,0.00126,0.46103,0.37931,0.32682,0.14194,2.29559,1.82675,0.00154,0.00439115,0.00439115,0.00439115
125,217.409,2.59522,2.14649,0.00146,0.46103,0.37931,0.32682,0.14194,2.29559,1.82675,0.00154,0.0043862,0.0043862,0.0043862
126,218.971,2.46242,2.15649,0.00143,0.46986,0.34483,0.34339,0.1422,2.29218,1.81814,0.00156,0.00438125,0.00438125,0.00438125
127,220.66,2.54288,2.39024,0.00139,0.46986,0.34483,0.34339,0.1422,2.29218,1.81814,0.00156,0.0043763,0.0043763,0.0043763
128,222.122,2.4825,2.17224,0.00148,0.46986,0.34483,0.34339,0.1422,2.29218,1.81814,0.00156,0.00437135,0.00437135,0.00437135
129,223.56,2.41398,2.1877,0.00152,0.46986,0.34483,0.34339,0.1422,2.29218,1.81814,0.00156,0.0043664,0.0043664,0.0043664
130,225.148,2.47696,1.98116,0.00141,0.41431,0.34483,0.3184,0.1401,2.31357,1.80861,0.00155,0.00436145,0.00436145,0.00436145
131,226.545,2.79663,2.07709,0.00151,0.41431,0.34483,0.3184,0.1401,2.31357,1.80861,0.00155,0.0043565,0.0043565,0.0043565
132,228.078,2.37241,2.4849,0.00132,0.41431,0.34483,0.3184,0.1401,2.31357,1.80861,0.00155,0.00435155,0.00435155,0.00435155
133,229.479,2.38679,2.24928,0.00144,0.41431,0.34483,0.3184,0.1401,2.31357,1.80861,0.00155,0.0043466,0.0043466,0.0043466
134,230.969,2.75856,2.10814,0.00153,0.40357,0.37931,0.33112,0.13587,2.34789,1.77915,0.00158,0.00434165,0.00434165,0.00434165
135,232.452,2.57968,2.14239,0.00147,0.40357,0.37931,0.33112,0.13587,2.34789,1.77915,0.00158,0.0043367,0.0043367,0.0043367
136,233.877,2.35507,2.05845,0.00146,0.40357,0.37931,0.33112,0.13587,2.34789,1.77915,0.00158,0.00433175,0.00433175,0.00433175
137,235.509,2.57311,2.00846,0.00163,0.40357,0.37931,0.33112,0.13587,2.34789,1.77915,0.00158,0.0043268,0.0043268,0.0043268
138,236.974,2.70151,2.2753,0.00161,0.44296,0.37931,0.33417,0.14797,2.36303,1.75532,0.00159,0.00432185,0.00432185,0.00432185
139,238.567,2.50285,2.24228,0.00137,0.44296,0.37931,0.33417,0.14797,2.36303,1.75532,0.00159,0.0043169,0.0043169,0.0043169
140,240.048,2.38194,2.10154,0.00143,0.44296,0.37931,0.33417,0.14797,2.36303,1.75532,0.00159,0.00431195,0.00431195,0.00431195
141,241.511,2.77481,2.57511,0.00153,0.44296,0.37931,0.33417,0.14797,2.36303,1.75532,0.00159,0.004307,0.004307,0.004307
142,243.062,2.43783,2.28522,0.00131,0.49004,0.37931,0.34959,0.1643,2.27031,1.80466,0.00151,0.00430205,0.00430205,0.00430205
143,244.548,2.34375,2.25915,0.00124,0.49004,0.37931,0.34959,0.1643,2.27031,1.80466,0.00151,0.0042971,0.0042971,0.0042971
144,246.109,2.59669,2.19468,0.00146,0.49004,0.37931,0.34959,0.1643,2.27031,1.80466,0.00151,0.00429215,0.00429215,0.00429215
145,247.659,2.33219,2.05482,0.0013,0.49004,0.37931,0.34959,0.1643,2.27031,1.80466,0.00151,0.0042872,0.0042872,0.0042872
146,249.227,2.79503,2.3411,0.00145,0.47722,0.29915,0.35584,0.16249,2.25468,1.84389,0.00148,0.00428225,0.00428225,0.00428225
147,250.964,2.45534,2.16491,0.00135,0.47722,0.29915,0.35584,0.16249,2.25468,1.84389,0.00148,0.0042773,0.0042773,0.0042773
148,252.476,2.58111,2.31111,0.00145,0.47722,0.29915,0.35584,0.16249,2.25468,1.84389,0.00148,0.00427235,0.00427235,0.00427235
149,254.027,2.67048,2.22987,0.00128,0.47722,0.29915,0.35584,0.16249,2.25468,1.84389,0.00148,0.0042674,0.0042674,0.0042674
150,255.567,2.50731,2.1952,0.00132,0.45641,0.32759,0.36948,0.15642,2.29727,1.78337,0.00147,0.00426245,0.00426245,0.00426245
151,257.304,2.79907,2.36361,0.00147,0.45641,0.32759,0.36948,0.15642,2.29727,1.78337,0.00147,0.0042575,0.0042575,0.0042575
152,258.878,2.52144,2.19382,0.00143,0.45641,0.32759,0.36948,0.15642,2.29727,1.78337,0.00147,0.00425255,0.00425255,0.00425255
153,260.43,2.12492,1.96022,0.00125,0.45641,0.32759,0.36948,0.15642,2.29727,1.78337,0.00147,0.0042476,0.0042476,0.0042476
154,262.102,2.31312,2.00083,0.00134,0.46394,0.41379,0.37848,0.16401,2.2465,1.73383,0.00146,0.00424265,0.00424265,0.00424265
155,263.64,2.37863,2.02612,0.00126,0.46394,0.41379,0.37848,0.16401,2.2465,1.73383,0.00146,0.0042377,0.0042377,0.0042377
156,265.435,2.32441,1.90668,0.00144,0.46394,0.41379,0.37848,0.16401,2.2465,1.73383,0.00146,0.00423275,0.00423275,0.00423275
157,266.969,2.14667,1.94816,0.00127,0.46394,0.41379,0.37848,0.16401,2.2465,1.73383,0.00146,0.0042278,0.0042278,0.0042278
158,268.601,2.13138,1.81021,0.00114,0.46024,0.39694,0.37555,0.1617,2.28389,1.71565,0.00146,0.00422285,0.00422285,0.00422285
159,270.118,2.58955,2.13126,0.00134,0.46024,0.39694,0.37555,0.1617,2.28389,1.71565,0.00146,0.0042179,0.0042179,0.0042179
160,271.563,2.28458,2.01524,0.00135,0.46024,0.39694,0.37555,0.1617,2.28389,1.71565,0.00146,0.00421295,0.00421295,0.00421295
161,273.21,2.62268,2.06011,0.00135,0.46024,0.39694,0.37555,0.1617,2.28389,1.71565,0.00146,0.004208,0.004208,0.004208
162,274.712,2.46898,2.20908,0.00138,0.50515,0.41379,0.39253,0.16807,2.23955,1.70574,0.00147,0.00420305,0.00420305,0.00420305
163,276.187,2.70341,2.31411,0.00138,0.50515,0.41379,0.39253,0.16807,2.23955,1.70574,0.00147,0.0041981,0.0041981,0.0041981
164,277.678,2.09683,1.99728,0.00133,0.50515,0.41379,0.39253,0.16807,2.23955,1.70574,0.00147,0.00419315,0.00419315,0.00419315
165,279.195,2.74513,2.32133,0.00138,0.50515,0.41379,0.39253,0.16807,2.23955,1.70574,0.00147,0.0041882,0.0041882,0.0041882
166,280.834,2.19477,1.9963,0.00131,0.48942,0.43103,0.38954,0.16412,2.2279,1.73117,0.00145,0.00418325,0.00418325,0.00418325
167,282.316,2.58503,2.02845,0.00133,0.48942,0.43103,0.38954,0.16412,2.2279,1.73117,0.00145,0.0041783,0.0041783,0.0041783
168,283.799,2.31264,2.08256,0.00133,0.48942,0.43103,0.38954,0.16412,2.2279,1.73117,0.00145,0.00417335,0.00417335,0.00417335
169,285.258,2.4663,2.21785,0.00133,0.48942,0.43103,0.38954,0.16412,2.2279,1.73117,0.00145,0.0041684,0.0041684,0.0041684
170,286.783,2.83699,2.16427,0.00134,0.48018,0.41379,0.38846,0.16489,2.22791,1.71757,0.00145,0.00416345,0.00416345,0.00416345
171,288.41,2.49421,2.0299,0.00126,0.48018,0.41379,0.38846,0.16489,2.22791,1.71757,0.00145,0.0041585,0.0041585,0.0041585
172,289.884,2.29782,1.97624,0.0012,0.48018,0.41379,0.38846,0.16489,2.22791,1.71757,0.00145,0.00415355,0.00415355,0.00415355
173,291.328,2.06836,1.91987,0.00134,0.48018,0.41379,0.38846,0.16489,2.22791,1.71757,0.00145,0.0041486,0.0041486,0.0041486
174,292.74,2.30444,1.76403,0.00136,0.49166,0.39655,0.40125,0.16988,2.23366,1.6692,0.00146,0.00414365,0.00414365,0.00414365
175,294.195,2.37719,2.10597,0.00126,0.49166,0.39655,0.40125,0.16988,2.23366,1.6692,0.00146,0.0041387,0.0041387,0.0041387
176,295.924,2.21894,1.98743,0.00138,0.49166,0.39655,0.40125,0.16988,2.23366,1.6692,0.00146,0.00413375,0.00413375,0.00413375
