epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3192,2.1197,2.73222,0.00268,0.37354,0.3876,0.31524,0.16047,2.01713,2.41494,0.00256,0.0002,0.0002,0.0962
2,18.3819,2.56937,2.51575,0.00322,0.34317,0.36,0.30201,0.15308,2.02167,2.46994,0.00257,0.000449555,0.000449555,0.0914496
3,19.6267,2.55635,2.58417,0.00323,0.34945,0.3814,0.28669,0.14163,2.08352,2.52902,0.00264,0.000698614,0.000698614,0.0866986
4,20.6967,2.48014,2.37523,0.00349,0.36329,0.59,0.3447,0.17144,1.9616,2.55007,0.00247,0.000947178,0.000947178,0.0819472
5,21.8566,2.26508,1.78255,0.00322,0.36959,0.61,0.33963,0.16571,1.9998,2.6344,0.00254,0.00119525,0.00119525,0.0771952
6,22.9038,2.23523,2.03814,0.00279,0.36959,0.61,0.33963,0.16571,1.9998,2.6344,0.00254,0.00144282,0.00144282,0.0724428
7,24.0052,2.24316,1.75453,0.00274,0.36959,0.61,0.33963,0.16571,1.9998,2.6344,0.00254,0.0016899,0.0016899,0.0676899
8,25.253,2.01909,1.66402,0.00286,0.43125,0.59144,0.42257,0.2061,1.94182,3.30351,0.00241,0.00193649,0.00193649,0.0629365
9,26.3524,2.28492,1.77486,0.00265,0.43125,0.59144,0.42257,0.2061,1.94182,3.30351,0.00241,0.00218258,0.00218258,0.0581826
10,27.3931,2.15714,2.16294,0.00274,0.43125,0.59144,0.42257,0.2061,1.94182,3.30351,0.00241,0.00242817,0.00242817,0.0534282
11,28.5106,2.02565,1.62979,0.00227,0.43435,0.63,0.42961,0.21292,1.92668,3.10569,0.00239,0.00267327,0.00267327,0.0486733
12,29.6094,2.2816,3.22033,0.00304,0.43435,0.63,0.42961,0.21292,1.92668,3.10569,0.00239,0.00291787,0.00291787,0.0439179
13,30.8304,2.07161,1.83768,0.00301,0.43435,0.63,0.42961,0.21292,1.92668,3.10569,0.00239,0.00316198,0.00316198,0.039162
14,31.9331,2.08713,1.79747,0.0028,0.43435,0.63,0.42961,0.21292,1.92668,3.10569,0.00239,0.0034056,0.0034056,0.0344056
15,33.0183,2.08317,1.95098,0.00293,0.43435,0.63,0.42961,0.21292,1.92668,3.10569,0.00239,0.00364872,0.00364872,0.0296487
16,34.1072,1.9863,1.81684,0.00259,0.41813,0.64,0.427,0.21107,1.97171,2.77483,0.00245,0.00389134,0.00389134,0.0248913
17,35.1551,2.06036,1.90771,0.00284,0.41813,0.64,0.427,0.21107,1.97171,2.77483,0.00245,0.00413347,0.00413347,0.0201335
18,36.3311,2.08654,1.5049,0.00272,0.41813,0.64,0.427,0.21107,1.97171,2.77483,0.00245,0.00437511,0.00437511,0.0153751
19,37.3844,2.07276,1.74963,0.00242,0.41813,0.64,0.427,0.21107,1.97171,2.77483,0.00245,0.00461625,0.00461625,0.0106162
20,38.4443,2.04924,1.74892,0.00298,0.41813,0.64,0.427,0.21107,1.97171,2.77483,0.00245,0.00485689,0.00485689,0.00585689
21,39.5295,2.22313,2.13884,0.00241,0.41813,0.64,0.427,0.21107,1.97171,2.77483,0.00245,0.004901,0.004901,0.004901
22,40.5869,2.12212,1.69897,0.00238,0.41813,0.64,0.427,0.21107,1.97171,2.77483,0.00245,0.00489605,0.00489605,0.00489605
23,41.8175,2.16397,1.61641,0.00244,0.56437,0.58,0.55853,0.26951,1.82437,3.16898,0.00222,0.0048911,0.0048911,0.0048911
24,42.8256,2.02576,1.71735,0.00264,0.56437,0.58,0.55853,0.26951,1.82437,3.16898,0.00222,0.00488615,0.00488615,0.00488615
25,43.7737,2.09784,1.70716,0.00236,0.56437,0.58,0.55853,0.26951,1.82437,3.16898,0.00222,0.0048812,0.0048812,0.0048812
26,44.7722,2.0818,1.63715,0.00236,0.56437,0.58,0.55853,0.26951,1.82437,3.16898,0.00222,0.00487625,0.00487625,0.00487625
27,45.8223,2.03038,1.58682,0.00218,0.56437,0.58,0.55853,0.26951,1.82437,3.16898,0.00222,0.0048713,0.0048713,0.0048713
28,46.9285,2.07407,1.80308,0.00253,0.56437,0.58,0.55853,0.26951,1.82437,3.16898,0.00222,0.00486635,0.00486635,0.00486635
29,47.9433,2.20149,1.97565,0.00221,0.7204,0.57,0.64238,0.28302,1.84557,2.55833,0.00221,0.0048614,0.0048614,0.0048614
30,48.9659,2.49232,2.22304,0.00256,0.7204,0.57,0.64238,0.28302,1.84557,2.55833,0.00221,0.00485645,0.00485645,0.00485645
31,50.0019,1.98747,1.47187,0.00223,0.7204,0.57,0.64238,0.28302,1.84557,2.55833,0.00221,0.0048515,0.0048515,0.0048515
32,50.9708,2.13707,1.75,0.00277,0.7204,0.57,0.64238,0.28302,1.84557,2.55833,0.00221,0.00484655,0.00484655,0.00484655
