experiment;dataset;shots;variant;map;map50;mp;mr;f1;best_epoch;best_val_map
Finetuning_aubaac_5_shot;aubaac;5;base;0,724643689477491;0,9447209818437015;0,8505298643820858;0,9311905124008771;0,8890343855821318;251;0,72566
Finetuning_aubaac_10_shot;aubaac;10;base;0,7455260625809111;0,943173450760043;0,9388787580612299;0,8378967106061407;0,8855181050282249;112;0,75355
Finetuning_aubaac_15_shot;aubaac;15;base;0,809834713261879;0,975063173945603;0,9137339971626967;0,9629257986177275;0,9376851797223714;202;0,80271
Finetuning_miele_5_shot;miele;5;base;0,15687299099660906;0,3613336302173584;0,5191426959116;0,3275862068965517;0,4016964249778619;421;0,19621
Finetuning_miele_10_shot;miele;10;base;0,06792076434516811;0,1923589729689699;0,012546625974906748;0,6379310344827587;0,024609245094778846;151;0,127
Finetuning_mx_miele_10_shot;mx_miele;10;mx;0,2519469033428453;0,5145603178667466;0,6452274128522957;0,4482758620689655;0,5290151046830988;515;0,25782
Finetuning_miele_15_shot;miele;15;base;0,09660634987435733;0,2349867628056787;0,018613308515588647;0,6896551724137931;0,03624830086089715;142;0,1643
Finetuning_mx_miele_15_shot;mx_miele;15;mx;0,3240325226728118;0,6475349734704868;0,8110296521577248;0,603448275862069;0,69200718593432;822;0,3238
Finetuning_mock_battery_5_shot;mock_battery;5;base;0,4759874441322943;0,9052805624320706;0,9233633666424604;0,8434258650438267;0,881586249557219;752;0,47159
Finetuning_mock_battery_10_shot;mock_battery;10;base;0,494653282708981;0,9333385242408773;0,9198285815983405;0,9178786972794634;0,9188526049844759;362;0,5005
Finetuning_mock_battery_15_shot;mock_battery;15;base;0,480019008970569;0,9357141444285838;0,9189070749306602;0,93;0,9244202602421905;338;0,51019
