epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6694,1.18626,103.598,0.00239,0.00263,0.02469,0.00213,0.00089,1.54479,110.861,0.00457,0.00136,0.00136,0.08436
2,40.5503,1.92016,8.67786,0.00413,0,0,0,0,nan,nan,nan,0.00279654,0.00279654,0.0677965
3,45.4579,2.07609,3.30931,0.00436,0,0,0,0,nan,nan,nan,0.00422951,0.00422951,0.0512295
4,50.3805,2.04053,2.62469,0.0043,0,0,0,0,nan,nan,nan,0.00565891,0.00565891,0.0346589
5,55.472,1.94109,2.75307,0.00388,0,0,0,0,nan,nan,nan,0.00708476,0.00708476,0.0180848
6,61.2171,2.10588,2.77489,0.00461,0,0,0,0,nan,nan,nan,0.0079505,0.0079505,0.0079505
7,66.1157,1.8033,2.40412,0.00387,0,0,0,0,nan,nan,nan,0.0079406,0.0079406,0.0079406
8,71.6119,1.85096,2.11598,0.00394,0,0,0,0,nan,nan,nan,0.0079307,0.0079307,0.0079307
9,76.5354,1.64861,2.0865,0.00325,0,0,0,0,nan,nan,nan,0.0079208,0.0079208,0.0079208
10,81.1288,1.50405,1.91369,0.00304,0,0,0,0,nan,nan,nan,0.0079109,0.0079109,0.0079109
11,85.9114,1.58302,1.87083,0.00315,0,0,0,0,nan,nan,nan,0.007901,0.007901,0.007901
12,90.6541,1.47333,1.78326,0.00312,0,0,0,0,nan,nan,nan,0.0078911,0.0078911,0.0078911
13,95.2291,1.44509,1.64035,0.00294,0,0,0,0,nan,nan,nan,0.0078812,0.0078812,0.0078812
14,100.211,1.46865,1.75975,0.00308,0.34413,0.03704,0.04675,0.02489,nan,nan,nan,0.0078713,0.0078713,0.0078713
15,104.908,1.44214,1.56308,0.00282,0,0,0,0,nan,nan,nan,0.0078614,0.0078614,0.0078614
16,109.505,1.40289,1.43867,0.00284,0.56841,0.18519,0.19199,0.12468,nan,nan,nan,0.0078515,0.0078515,0.0078515
17,114.211,1.48645,1.38572,0.00283,0.59852,0.20988,0.21901,0.1216,2.22789,nan,0.00749,0.0078416,0.0078416,0.0078416
18,118.79,1.40104,1.22408,0.00295,0.62337,0.60494,0.59979,0.31048,1.59125,nan,0.00447,0.0078317,0.0078317,0.0078317
19,123.975,1.39988,1.13397,0.00312,0.63177,0.57193,0.62394,0.39565,1.42473,1.45573,0.0039,0.0078218,0.0078218,0.0078218
20,129.07,1.5778,1.13294,0.00343,0.63613,0.47489,0.58223,0.2614,1.95008,1.58976,0.00532,0.0078119,0.0078119,0.0078119
21,133.63,1.55462,1.19339,0.0033,0.61145,0.58025,0.59147,0.32146,1.7024,1.48146,0.00482,0.007802,0.007802,0.007802
22,138.228,1.57959,1.23198,0.00336,0.76173,0.59202,0.69878,0.37752,1.71671,1.31635,0.00464,0.0077921,0.0077921,0.0077921
23,142.808,1.5282,1.07081,0.00308,0.49353,0.4331,0.46333,0.28574,1.54375,1.86484,0.00429,0.0077822,0.0077822,0.0077822
24,147.404,1.40604,1.11409,0.00323,0.58116,0.54321,0.61947,0.41883,1.43564,1.41382,0.00423,0.0077723,0.0077723,0.0077723
25,152.102,1.46101,1.09425,0.00301,0.59383,0.58025,0.6523,0.43442,1.49006,1.31368,0.00466,0.0077624,0.0077624,0.0077624
26,156.834,1.41955,1.01916,0.0029,0.78135,0.67901,0.78546,0.49624,1.25664,1.19548,0.0032,0.0077525,0.0077525,0.0077525
27,161.604,1.35587,0.93955,0.00274,0.75944,0.74074,0.75475,0.48657,1.2992,nan,0.00349,0.0077426,0.0077426,0.0077426
28,166.564,1.58626,1.06411,0.00336,0.69274,0.67901,0.65759,0.37981,1.69295,1.80506,0.00456,0.0077327,0.0077327,0.0077327
29,171.563,1.5877,1.00765,0.00302,0.74395,0.5679,0.62342,0.41397,1.46506,1.70422,0.00422,0.0077228,0.0077228,0.0077228
30,176.362,1.38271,0.94567,0.00282,0.78894,0.51852,0.62934,0.31929,1.94887,1.53332,0.00556,0.0077129,0.0077129,0.0077129
31,180.961,1.48198,1.0743,0.00292,0.66082,0.44444,0.47305,0.30449,1.79578,1.77723,0.00527,0.007703,0.007703,0.007703
32,185.549,1.51866,1.1756,0.00303,0.60022,0.68584,0.64826,0.4069,1.50741,1.27126,0.00444,0.0076931,0.0076931,0.0076931
33,190.133,1.2915,0.87441,0.00268,0.71213,0.81481,0.77717,0.51701,1.2529,1.06617,0.00352,0.0076832,0.0076832,0.0076832
34,194.858,1.28352,0.89379,0.00265,0.58075,0.42758,0.43064,0.2594,1.81578,2.13977,0.0056,0.0076733,0.0076733,0.0076733
35,199.421,1.38098,1.0973,0.00285,0.73622,0.51852,0.57821,0.35401,1.79321,1.68247,0.00546,0.0076634,0.0076634,0.0076634
36,203.989,1.41146,0.9933,0.00292,0.83125,0.79058,0.82728,0.47193,1.62515,1.03545,0.00446,0.0076535,0.0076535,0.0076535
37,208.725,1.35132,0.98345,0.00352,0.76739,0.74074,0.82661,0.51005,1.45312,0.98743,0.00427,0.0076436,0.0076436,0.0076436
38,213.462,1.28367,0.95855,0.00264,0.74211,0.45679,0.54704,0.38601,1.42475,1.5419,0.00434,0.0076337,0.0076337,0.0076337
39,218.058,1.233,0.91868,0.00247,0.84312,0.74074,0.82229,0.5233,1.3466,1.0732,0.0038,0.0076238,0.0076238,0.0076238
40,222.729,1.23261,0.9872,0.00245,0.8691,0.7284,0.84155,0.55223,1.30053,0.94453,0.00364,0.0076139,0.0076139,0.0076139
41,227.457,1.29053,0.86352,0.00273,0.6516,0.46914,0.48596,0.31619,1.54529,1.94106,0.00442,0.007604,0.007604,0.007604
42,232.073,1.24254,0.82334,0.00266,0.91414,0.78868,0.86669,0.56245,1.22169,0.87588,0.00329,0.0075941,0.0075941,0.0075941
43,236.741,1.27885,0.89896,0.00255,0.76424,0.80042,0.86494,0.52548,1.24001,0.85191,0.00328,0.0075842,0.0075842,0.0075842
44,241.276,1.17967,0.79335,0.00233,0.75073,0.54321,0.66536,0.45121,1.318,1.29969,0.00384,0.0075743,0.0075743,0.0075743
45,246.012,1.09863,0.84263,0.00256,0.62918,0.67901,0.69464,0.45198,1.39958,1.22453,0.00398,0.0075644,0.0075644,0.0075644
46,251.002,1.20579,0.78173,0.00242,0.75499,0.7284,0.78855,0.52039,1.27632,1.12988,0.00374,0.0075545,0.0075545,0.0075545
47,255.771,1.14285,0.8171,0.00228,0.77099,0.75309,0.8218,0.55648,1.26166,0.97203,0.00369,0.0075446,0.0075446,0.0075446
48,260.352,1.16643,0.8152,0.00252,0.79485,0.81316,0.84997,0.52958,1.36013,0.81476,0.00384,0.0075347,0.0075347,0.0075347
49,264.968,1.23983,0.79178,0.00247,0.77523,0.80904,0.83549,0.55447,1.30093,0.93111,0.00369,0.0075248,0.0075248,0.0075248
50,269.588,1.19093,0.85817,0.00243,0.70546,0.81481,0.8011,0.58499,nan,nan,nan,0.0075149,0.0075149,0.0075149
51,626.393,1.10382,0.87638,0.00231,0.89127,0.82716,0.87334,0.6106,1.15567,0.95045,0.00318,0.007505,0.007505,0.007505
52,631.818,1.22257,0.82943,0.00236,0.61645,0.14815,0.11538,0.07827,nan,nan,nan,0.0074951,0.0074951,0.0074951
53,636.666,1.1272,0.82323,0.00246,0.79208,0.66667,0.77614,0.52725,1.35641,1.04424,0.00406,0.0074852,0.0074852,0.0074852
54,641.465,1.28282,0.77673,0.0024,0.8851,0.76089,0.8453,0.5311,1.43874,1.00983,0.00402,0.0074753,0.0074753,0.0074753
55,646.031,1.23619,0.80955,0.00257,0.77844,0.81481,0.84084,0.5514,1.32439,1.03891,0.00374,0.0074654,0.0074654,0.0074654
56,650.634,1.1145,0.73866,0.00219,0.71176,0.85362,0.82102,0.56001,1.22975,1.07024,0.00353,0.0074555,0.0074555,0.0074555
57,655.249,1.22404,0.82011,0.00248,0.82636,0.64632,0.76768,0.48922,1.37423,1.0983,0.00389,0.0074456,0.0074456,0.0074456
58,659.871,1.38281,0.81624,0.00289,0.77434,0.81481,0.83895,0.51412,1.35841,0.91615,0.00366,0.0074357,0.0074357,0.0074357
59,665.039,1.16632,0.70173,0.00245,0.79483,0.90874,0.8892,0.57457,1.21532,0.68682,0.00322,0.0074258,0.0074258,0.0074258
60,670.035,1.10769,0.71654,0.00242,0.82878,0.83951,0.89654,0.57673,1.27365,0.73887,0.00338,0.0074159,0.0074159,0.0074159
61,674.997,1.21373,0.62804,0.0023,0.78081,0.79012,0.876,0.52275,1.44645,0.82318,0.00372,0.007406,0.007406,0.007406
62,679.634,1.16733,0.62024,0.00229,0.92117,0.75309,0.90376,0.57089,1.29627,0.74774,0.00337,0.0073961,0.0073961,0.0073961
63,684.21,1.23873,0.7561,0.00231,0.82163,0.7962,0.87626,0.57731,1.22679,0.71344,0.00327,0.0073862,0.0073862,0.0073862
64,688.784,1.22026,0.71008,0.00254,0.77059,0.85185,0.86121,0.57022,1.21533,0.77569,0.00343,0.0073763,0.0073763,0.0073763
65,693.781,1.11468,0.64718,0.0024,0.78222,0.79012,0.86399,0.58628,1.23302,0.69076,0.00371,0.0073664,0.0073664,0.0073664
66,698.409,1.18361,0.73774,0.00256,0.78377,0.87654,0.88724,0.587,1.26275,0.65237,0.00336,0.0073565,0.0073565,0.0073565
67,703.018,1.13715,0.65501,0.00223,0.88253,0.83476,0.90038,0.59268,1.24191,0.65834,0.0033,0.0073466,0.0073466,0.0073466
68,707.626,1.14111,0.62852,0.00219,0.81303,0.80528,0.84405,0.55169,1.2337,0.82748,0.00328,0.0073367,0.0073367,0.0073367
69,712.408,1.06254,0.56703,0.00209,0.80457,0.91489,0.90406,0.59151,1.20158,0.71722,0.00336,0.0073268,0.0073268,0.0073268
70,716.994,1.07042,0.58284,0.00195,0.84054,0.9111,0.90812,0.58803,1.26207,0.75559,0.00351,0.0073169,0.0073169,0.0073169
71,721.577,1.09759,0.63259,0.00215,0.83801,0.85185,0.89494,0.62486,1.17234,0.66405,0.00314,0.007307,0.007307,0.007307
72,726.256,1.0867,0.67668,0.00203,0.78544,0.85873,0.90071,0.60628,1.18628,0.71126,0.00328,0.0072971,0.0072971,0.0072971
